OBJECTID,Ohrozenie,Dátum,Poznámka,Druh ohrozenia,Ohrozenie detail,Hodina výskytu,Y,X
639,Medveď - vizuálny kontakt,2022-08-17 10:00:00,,Samec,,Nedefinované,"48,68860401","18,69758796"
640,Medveď - vizuálny kontakt,2022-04-05 10:00:00,,Nedefinované,,Nedefinované,"48,61959622","19,55075733"
641,Medveď - vizuálny kontakt,2022-06-22 10:00:00,,Nedefinované,,Nedefinované,"48,6155067","19,55364729"
642,Medveď - vizuálny kontakt,2022-02-12 11:00:00,,Nedefinované,,Nedefinované,"48,61877618","19,571965"
643,Medveď - pobytové znaky,2022-08-24 10:00:00,,Stopa,,Nedefinované,"48,64130396","19,28722123"
644,Medveď - pobytové znaky,2022-08-24 10:00:00,,Nedefinované,,Nedefinované,"48,63267467","19,28836324"
645,Medveď - pobytové znaky,2022-08-19 10:00:00,,Nedefinované,,Nedefinované,"48,62631627","19,28711522"
646,Medveď - pobytové znaky,2022-08-25 10:20:49,,Nedefinované,,Nedefinované,"48,60870413","19,36998518"
647,Medveď - pobytové znaky,2022-07-25 10:00:00,,Nedefinované,,Nedefinované,"48,62213787","19,29548917"
648,Medveď - vizuálny kontakt,2022-05-27 10:00:00,,Samec,,14,"48,59596426","19,55257952"
649,Medveď - vizuálny kontakt,2022-04-07 10:00:00,,Samec,,12,"48,60148967","19,56727058"
650,Medveď - pobytové znaky,2022-06-13 10:00:00,,Stopa,,9,"48,59855616","19,57198007"
651,Medveď - vizuálny kontakt,2022-06-25 10:00:00,,Nedefinované,,10,"48,54506971","19,53159512"
652,Medveď - pobytové znaky,2022-07-25 10:00:00,,Stopa,,9,"48,40724602","19,52430395"
653,Medveď - pobytové znaky,2022-08-26 10:20:51,,Trus,,Nedefinované,"48,56129374","19,49115069"
654,Medveď - pobytové znaky,2022-08-27 10:00:00,,Stopa,,Nedefinované,"48,83434126","19,76624116"
